Qoil,Qwater,Qgas,BHP,WHP,WHT,Tsep,Psep,Choke_in
1513.30,6053.10,3.78,4529.29,825.55,179.87,135.40,100.00,1.16
5906.90,0.00,14.77,4314.20,1363.67,156.84,101.74,200.00,1.16
4848.50,1212.10,12.12,4208.02,1251.73,162.13,108.57,200.00,1.16
3870.40,2580.30,9.68,4244.36,1158.81,168.30,117.20,200.00,1.16
2785.80,4178.70,6.96,4343.38,1035.07,174.31,126.33,200.00,1.16
1513.30,6053.10,3.78,4529.29,825.55,179.87,135.40,200.00,1.16
5906.90,0.00,14.77,4314.20,1363.67,156.84,101.74,300.00,1.16
4848.50,1212.10,12.12,4208.02,1251.73,162.13,108.57,300.00,1.16
3870.40,2580.30,9.68,4244.36,1158.81,168.30,117.20,300.00,1.16
2785.80,4178.70,6.96,4343.38,1035.07,174.31,126.33,300.00,1.16
1513.30,6053.10,3.78,4529.29,825.55,179.87,135.40,300.00,1.16
5906.90,0.00,14.77,4314.20,1363.67,156.84,101.74,400.00,1.16
4848.50,1212.10,12.12,4208.02,1251.73,162.13,108.57,400.00,1.16
3870.40,2580.30,9.68,4244.36,1158.81,168.30,117.20,400.00,1.16
2785.70,4178.60,6.96,4343.42,1035.15,174.31,126.33,400.00,1.16
1503.70,6015.00,3.76,4536.21,840.31,179.66,135.05,400.00,1.16
5906.90,0.00,14.77,4314.20,1363.67,156.84,101.74,500.00,1.16
4848.20,1212.10,12.12,4208.11,1251.93,162.12,108.56,500.00,1.16
3866.60,2577.80,9.67,4245.80,1161.91,168.26,117.15,500.00,1.16
2773.10,4159.70,6.93,4349.44,1048.21,174.15,126.08,500.00,1.16
1475.70,5903.00,3.69,4556.43,877.30,178.99,133.94,500.00,1.16
5901.40,0.00,14.75,4315.55,1367.06,156.80,101.69,600.00,1.16
4829.10,1207.30,12.07,4214.32,1263.18,161.97,108.35,600.00,1.16
3841.40,2560.90,9.60,4255.40,1181.93,167.99,116.76,600.00,1.16
2738.90,4108.30,6.85,4365.85,1079.31,173.72,125.39,600.00,1.16
1440.40,5761.70,3.60,4581.95,927.48,178.14,132.55,600.00,1.16
6216.40,0.00,15.54,4236.72,1178.53,158.95,104.45,100.00,1.50
5102.10,1275.50,12.76,4125.68,1073.65,164.21,111.41,100.00,1.50
4082.30,2721.60,10.21,4163.16,988.07,170.42,120.31,100.00,1.50
2944.50,4416.80,7.36,4267.41,876.55,176.29,129.50,100.00,1.50
1603.20,6412.70,4.01,4463.95,692.11,181.66,138.50,100.00,1.50
6216.40,0.00,15.54,4236.72,1178.53,158.95,104.45,200.00,1.50
5102.10,1275.50,12.76,4125.68,1073.65,164.21,111.41,200.00,1.50
4082.30,2721.60,10.21,4163.16,988.07,170.42,120.31,200.00,1.50
2944.50,4416.80,7.36,4267.41,876.55,176.29,129.50,200.00,1.50
